jugar,trabajar,escribir,leer,hablar,contar,estudiar,explicar,agarrar,cambiar,beber,comer,enseñar,dormir,cocinar,ir,volver,levantarse,acostarse,sentarse,caminar,correr,bailar,estacionar,pasear,nadar,saltar,volar,caer,dar,subir,guardar,esconder,bajar,hacer,desvestir,vestir,bañar,secar,comprar,pagar,vender,peinar,mojar,pegar,limpiar,poner,cantar,dibujar,ordenar,coser,llevar,cortar,romper,pinchar,abrir,cerrar,plantar,regar,mirar,escuchar,pensar,oler,reir,llorar,amar,besar,querer,tener,olvidar,recordar,aprender,gustar,ayudar,saber,pelear,rascar,descansar,festejar,perder,ganar,esperar,abrazar,invitar,gritar,molestar
juego,trabajo,escribo,leo,hablo,cuento,estudio,explico,agarro,cambio,bebo,como,enseño,duermo,cocino,voy,vuelvo,me levanto,me acuesto,me siento,camino,corro,bailo,estaciono,paseo,nado,salto,vuelo,caigo,doy,subo,guardo,escondo,bajo,hago,desvisto,visto,baño,seco,compro,pago,vendo,peino,mojo,pego,limpio,pongo,canto,dibujo,ordeno,coso,llevo,corto,rompo,pincho,abro,cierro,planto,riego,miro,escucho,pienso,huelo,río,lloro,amo,beso,quiero,tengo,olvido,recuerdo,aprendo,gusto,ayudo,sé,peleo,rasco,descanso,festejo,pierdo,gano,espero,abrazo,invito,grito,molesto
juegas,trabajas,escribes,lees,hablas,cuentas,estudias,explicas,agarras,cambias,bebes,comes,enseñas,duermes,cocinas,vas,vuelves,te levantas,te acuestas,te sientas,caminas,corres,bailas,estacionas,paseas,nadas,saltas,vuelas,caes,das,subes,guardas,escondes,bajas,haces,desvistes,vistes,bañas,secas,compras,pagas,vendes,peinas,mojas,pegas,limpias,pones,cantas,dibujas,ordenas,coses,llevas,cortas,rompes,pinchas,abres,cierras,plantas,riegas,miras,escuchas,piensas,hueles,ríes,lloras,amas,besas,quieres,tienes,olvidas,recuerdas,aprendes,gustas,ayudas,sabes,peleas,rascas,descansas,festejas,pierdes,ganas,esperas,abrazas,invitas,gritas,molestas
juega,trabaja,escribe,lee,habla,cuenta,estudia,explica,agarra,cambia,bebe,come,enseña,duerme,cocina,va,vuelve,se levanta,se acuesta,se sienta,camina,corre,baila,estaciona,pasea,nada,salta,vuela,cae,da,sube,guarda,esconde,baja,hace,desviste,viste,baña,seca,compra,paga,vende,peina,moja,pega,limpia,pone,canta,dibuja,ordena,cose,lleva,corta,rompe,pincha,abre,cierra,planta,riega,mira,escucha,piensa,huele,ríe,llora,ama,besa,quiere,tiene,olvida,recuerda,aprende,gusta,ayuda,sabe,pelea,rasca,descansa,festeja,pierde,gana,espera,abraza,invita,grita,molesta
jugamos,trabajamos,escribimos,leemos,hablamos,contamos,estudiamos,explicamos,agarramos,cambiamos,bebemos,comemos,enseñamos,dormimos,cocinamos,vamos,volvemos,nos levantamos,nos acostamos,nos sentamos,caminamos,corremos,bailamos,estacionamos,paseamos,nadamos,saltamos,volamos,caemos,damos,subimos,guardamos,escondemos,bajamos,hacemos,desvestimos,vestimos,bañamos,secamos,compramos,pagamos,vendemos,peinamos,mojamos,pegamos,limpiamos,ponemos,cantamos,dibujamos,ordenamos,cosemos,llevamos,cortamos,rompemos,pinchamos,abrimos,cerramos,plantamos,regamos,miramos,escuchamos,pensamos,olemos,reímos,lloramos,amamos,besamos,queremos,tenemos,olvidamos,recordamos,aprendemos,gustamos,ayudamos,sabemos,peleamos,rascamos,descansamos,festejamos,perdemos,ganamos,esperamos,abrazamos,invitamos,gritamos,molestamos
juegan,trabajan,escriben,leen,hablan,cuentan,estudian,explican,agarran,cambian,beben,comen,enseñan,duermen,cocinan,van,vuelven,se levantan,se acuestan,se sientan,caminan,corren,bailan,estacionan,pasean,nadan,saltan,vuelan,caen,dan,suben,guardan,esconden,bajan,hacen,desvisten,visten,bañan,secan,compran,pagan,venden,peinan,mojan,pegan,limpian,ponen,cantan,dibujan,ordenan,cosen,llevan,cortan,rompen,pinchan,abren,cierran,plantan,riegan,miran,escuchan,piensan,huelen,ríen,lloran,aman,besan,quieren,tienen,olvidan,recuerdan,aprenden,gustan,ayudan,saben,pelean,rascan,descansan,festejan,pierden,ganan,esperan,abrazan,invitan,gritan,molestan
jugás,trabajás,escribís,leés,hablás,contás,estudiás,explicás,agarrás,cambiás,bebés,comés,enseñás,dormís,cocinás,vas,volvés,te levantás,te acostás,te sentás,caminás,corrés,bailás,estacionás,paseás,nadás,saltás,volás,caés,das,subís,guardás,escondés,bajás,hacés,desvestís,vestís,bañás,secás,comprás,pagás,vendés,peinás,mojás,pegás,limpiás,ponés,cantás,dibujás,ordenás,cosés,llevás,cortás,rompés,pinchás,abrís,cerrás,plantás,regás,mirás,escuchás,pensás,olés,reís,llorás,amás,besás,querés,tenés,olvidás,recordás,aprendés,gustás,ayudás,sabés,peleás,rascás,descansás,festejás,perdés,ganás,esperás,abrazás,invitás,gritás,molestás
jugaba,trabajaba,escribía,leía,hablaba,contaba,estudiaba,explicaba,agarraba,cambiaba,bebía,comía,enseñaba,dormía,cocinaba,iba,volvía,me levantaba,me acostaba,me sentaba,caminaba,corría,bailaba,estacionaba,paseaba,nadaba,saltaba,volaba,caía,daba,subía,guardaba,escondía,bajaba,hacía,desvestía,vestía,bañaba,secaba,compraba,pagaba,vendía,peinaba,mojaba,pegaba,limpiaba,ponía,cantaba,dibujaba,ordenaba,cosía,llevaba,cortaba,rompía,pinchaba,abría,cerraba,plantaba,regaba,miraba,escuchaba,pensaba,olía,reía,lloraba,amaba,besaba,quería,tenía,olvidaba,recordaba,aprendía,gustaba,ayudaba,sabía,peleaba,rascaba,descansaba,festejaba,perdía,ganaba,esperaba,abrazaba,invitaba,gritaba,molestaba
jugabas,trabajabas,escribías,leías,hablabas,contabas,estudiabas,explicabas,agarrabas,cambiabas,bebías,comías,enseñabas,dormías,cocinabas,ibas,volvías,te levantabas,te acostabas,te sentabas,caminabas,corrías,bailabas,estacionabas,paseabas,nadabas,saltabas,volabas,caías,dabas,subías,guardabas,escondías,bajabas,hacías,desvestías,vestías,bañabas,secabas,comprabas,pagabas,vendías,peinabas,mojabas,pegabas,limpiabas,ponías,cantabas,dibujabas,ordenabas,cosías,llevabas,cortabas,rompías,pinchabas,abrías,cerrabas,plantabas,regabas,mirabas,escuchabas,pensabas,olías,reías,llorabas,amabas,besabas,querías,tenías,olvidabas,recordabas,aprendías,gustabas,ayudabas,sabías,peleabas,rascabas,descansabas,festejabas,perdías,ganabas,esperabas,abrazabas,invitabas,gritabas,molestabas
jugaba,trabajaba,escribía,leía,hablaba,contaba,estudiaba,explicaba,agarraba,cambiaba,bebía,comía,enseñaba,dormía,cocinaba,iba,volvía,se levantaba,se acostaba,se sentaba,caminaba,corría,bailaba,estacionaba,paseaba,nadaba,saltaba,volaba,caía,daba,subía,guardaba,escondía,bajaba,hacía,desvestía,vestía,bañaba,secaba,compraba,pagaba,vendía,peinaba,mojaba,pegaba,limpiaba,ponía,cantaba,dibujaba,ordenaba,cosía,llevaba,cortaba,rompía,pinchaba,abría,cerraba,plantaba,regaba,miraba,escuchaba,pensaba,olía,reía,lloraba,amaba,besaba,quería,tenía,olvidaba,recordaba,aprendía,gustaba,ayudaba,sabía,peleaba,rascaba,descansaba,festejaba,perdía,ganaba,esperaba,abrazaba,invitaba,gritaba,molestaba
jugábamos,trabajábamos,escribíamos,leíamos,hablábamos,contábamos,estudiábamos,explicábamos,agarrábamos,cambiábamos,bebíamos,comíamos,enseñábamos,dormíamos,cocinábamos,íbamos,volvíamos,nos levantábamos,nos acostábamos,nos sentábamos,caminábamos,corríamos,bailábamos,estacionábamos,paseábamos,nadábamos,saltábamos,volábamos,caíamos,dábamos,subíamos,guardábamos,escondíamos,bajábamos,hacíamos,desvestíamos,vestíamos,bañábamos,secábamos,comprábamos,pagábamos,vendíamos,peinábamos,mojábamos,pegábamos,limpiábamos,poníamos,cantábamos,dibujábamos,ordenábamos,cosíamos,llevábamos,cortábamos,rompíamos,pinchábamos,abríamos,cerrábamos,plantábamos,regábamos,mirábamos,escuchábamos,pensábamos,olíamos,reíamos,llorábamos,amábamos,besábamos,queríamos,teníamos,olvidábamos,recordábamos,aprendíamos,gustábamos,ayudábamos,sabíamos,peleábamos,rascábamos,descansábamos,festejábamos,perdíamos,ganábamos,esperábamos,abrazábamos,invitábamos,gritábamos,molestábamos
